x,y,z,x_vel,y_vel,alpha,beta,z_vel,delay,score
0.101,-0.119,0.422,10.615,-9.148,-6.523657832264039,-5.685991286258247,0.4049294522120079,46.71710742503832,0.971391360773978
-0.119,-0.101,0.422,-9.148,-10.615,-5.685991286258247,6.523657832264039,0.4049294522120079,46.71710742503832,0.971391360773978
-0.101,0.119,0.422,-10.615,9.148,6.523657832264039,5.685991286258247,0.4049294522120079,46.71710742503832,0.971391360773978
0.119,0.101,0.422,9.148,10.615,5.685991286258247,-6.523657832264039,0.4049294522120079,46.71710742503832,0.971391360773978
-0.001,0.024,0.179,10.565,5.667,1.8810131097372704,-0.000616126760282,0.9681612964748452,29.071668554771183,0.9542438089722488
0.024,0.001,0.179,5.667,-10.565,-0.000616126760282,-1.8810131097372704,0.9681612964748452,29.071668554771183,0.9542438089722488
0.001,-0.024,0.179,-10.565,-5.667,-1.8810131097372704,0.000616126760282,0.9681612964748452,29.071668554771183,0.9542438089722488
-0.024,-0.001,0.179,-5.667,10.565,0.000616126760282,1.8810131097372704,0.9681612964748452,29.071668554771183,0.9542438089722488
